,Voxel,Associated System,PC
836,1837,Cingulo-opercular,0.866202088632
837,1838,Somatomotor,0.686604085771
838,1839,Somatomotor,0.450321244468
839,1840,Somatomotor,0.321971121851
840,1841,Somatomotor,0.400210869206
841,1842,Somatomotor,0.51729877055
842,1843,Somatomotor,0.538637043975
843,1844,Somatomotor,0.539554304731
844,1845,Somatomotor,0.464152165374
845,1846,Visual,0.5570312441
846,1847,Visual,0.444365196798
847,1848,Visual,0.559838596601
848,1849,Sailency,0.481153349504
849,1850,Temporal,0.416030009127
850,1851,Fronto-parietal,0.531859089741
851,1852,Somatomotor,0.36733773015
852,1853,Somatomotor,0.247660513012
853,1854,Somatomotor,0.237247415034
854,1855,Somatomotor,0.27985071812
855,1856,Somatomotor,0.305675832379
856,1857,Somatomotor,0.400111259207
857,1858,Cingulo-opercular,0.664039961182
858,1859,Cingulo-opercular,0.726237135951
859,1860,Cingulo-opercular,0.680769073679
860,1861,Sailency,0.817939663595
861,1862,Cingulo-opercular,0.827839762268
862,1863,Cingulo-opercular,0.633282229111
863,1864,Somatomotor,0.492924762147
864,1865,Somatomotor,0.219588697561
865,1866,Somatomotor,0.125568895965
866,1867,Somatomotor,0.180070982096
867,1868,Somatomotor,0.345877249589
868,1869,Somatomotor,0.460465561526
869,1870,Somatomotor,0.52615985214
870,1871,Fronto-parietal,0.457024863715
871,1872,Visual,0.435980878451
872,1873,Temporal,0.448728029357
873,1874,Somatomotor,0.527439272226
874,1875,Somatomotor,0.452723943376
875,1876,Somatomotor,0.370267309032
876,1877,Somatomotor,0.15014831674
877,1878,Somatomotor,0.14841936914
878,1879,Somatomotor,0.194463327794
879,1880,Somatomotor,0.535904898973
880,1881,Cingulo-opercular,0.660215860096
881,1882,Cingulo-opercular,0.788415974681
882,1883,Cingulo-opercular,0.783684024836
883,1884,Sailency,0.817188139383
884,1885,Cingulo-opercular,0.907236874372
885,1886,Cingulo-opercular,0.656094169042
886,1887,Somatomotor,0.640355402399
887,1888,Somatomotor,0.417163828969
888,1889,Somatomotor,0.111340587715
889,1890,Somatomotor,0.142871706598
890,1891,Somatomotor,0.330258400337
891,1892,Somatomotor,0.462023122659
892,1893,Somatomotor,0.587757078453
893,1894,Sailency,0.430812169528
894,1895,Somatomotor,0.518105782095
895,1896,Somatomotor,0.469381647294
896,1897,Somatomotor,0.657554659505
897,1898,Somatomotor,0.35699125359
898,1899,Somatomotor,0.126293951568
899,1900,Somatomotor,0.352695808686
900,1901,Somatomotor,0.712868396845
901,1902,Cingulo-opercular,0.639260297989
902,1903,Cingulo-opercular,0.79672581357
903,1904,Sailency,0.832093183227
904,1905,Sailency,0.72589995112
905,1906,Cingulo-opercular,0.82416091518
906,1907,Cingulo-opercular,0.620546732007
907,1908,Cingulo-opercular,0.617237141852
908,1909,Somatomotor,0.622931741233
909,1910,Somatomotor,0.29732385758
910,1911,Somatomotor,0.319386127276
911,1912,Somatomotor,0.449476758436
912,1913,Somatomotor,0.577234043438
913,1914,Cingulo-opercular,0.361239389064
914,1915,Cingulo-opercular,0.53518564359
915,1916,Cingulo-opercular,0.534802544063
916,1917,Somatomotor,0.646631463981
917,1918,Somatomotor,0.619060714119
918,1919,Somatomotor,0.60892884603
919,1920,Somatomotor,0.713640408604
920,1921,Cingulo-opercular,0.752050171117
921,1922,Cingulo-opercular,0.61938250123
922,1923,Cingulo-opercular,0.726354485196
923,1924,Cingulo-opercular,0.894523367405
924,1925,Somatomotor,0.908946499949
925,1926,Cingulo-opercular,0.892253623225
926,1927,Cingulo-opercular,0.884471950667
927,1928,Cingulo-opercular,0.666299062585
928,1929,Cingulo-opercular,0.705817150391
929,1930,Cingulo-opercular,0.750297221184
930,1931,Cingulo-opercular,0.731632764856
931,1932,Cingulo-opercular,0.686003893357
932,1933,Cingulo-opercular,0.601399837416
933,1934,Cingulo-opercular,0.589201741099
934,1935,Cingulo-opercular,0.567630520291
935,1936,Cingulo-opercular,0.54321013605
936,1937,Cingulo-opercular,0.761758412508
937,1938,Cingulo-opercular,0.795692882511
938,1939,Cingulo-opercular,0.814474837976
939,1940,Cingulo-opercular,0.778155379331
940,1941,Cingulo-opercular,0.65660788476
941,1942,Cingulo-opercular,0.674318058715
942,1943,Cingulo-opercular,0.903412970571
943,1944,Cingulo-opercular,0.908821053899
944,1945,Cingulo-opercular,0.895941984803
945,1946,Cingulo-opercular,0.881237560743
946,1947,Cingulo-opercular,0.78706511446
947,1948,Cingulo-opercular,0.891723238549
948,1949,Cingulo-opercular,0.824594751327
949,1950,Cingulo-opercular,0.730630348117
950,1951,Cingulo-opercular,0.709727700513
951,1952,Cingulo-opercular,0.59134586295
952,1953,Cingulo-opercular,0.646043613524
953,1954,Cingulo-opercular,0.606212817353
954,1955,Cingulo-opercular,0.582781013069
955,1956,Cingulo-opercular,0.624606974061
956,1957,Cingulo-opercular,0.609083865593
957,1958,Cingulo-opercular,0.736365345358
958,1959,Cingulo-opercular,0.802030895483
959,1960,Fronto-parietal,0.794145671899
960,1961,Cingulo-opercular,0.666965413561
961,1962,Cingulo-opercular,0.823171641647
962,1963,Default,0.822764338487
963,1964,Sailency,0.817808392625
