,Associated System,Cortical CI,Cortical Target,Target PC,Target WMD,Voxel
31008,Default,2,184,0.23596418303308725,1.4097217795140322,3979
31009,Default,5,200,0.64664126913810349,-1.4465103323449768,3979
31010,Default,3,243,0.34491888376826135,1.3709349652846403,3979
31011,Default,1,259,0.66402419719298411,0.50632289359243665,3979
31012,Default,9,290,0.80112484768202541,0.81540403512878579,3979
31013,Default,2,294,0.52763582229926542,-1.1156806549769949,3979
31014,Default,2,298,0.29960741203588437,-0.51992336597905064,3979
31015,Default,2,325,0.0,-2.0684197151412023,3979
31016,Default,7,334,0.29051907992581377,-2.8037540122193549,3979
31017,Default,5,341,0.58668729127042674,0.014224589315788797,3979
31018,Default,2,347,0.35835828310412077,-0.34261201546077963,3979
31019,Default,0,45,0.10585425148765155,0.32071782146107825,3980
31020,Default,3,93,0.53227754543939498,-0.49367381845152619,3980
31021,Default,3,124,0.085773135214656668,0.0018503849556592974,3980
31022,Default,2,125,0.52590223748595966,-0.25366965615412634,3980
31023,Default,0,136,0.35062358010367811,0.66508309651542707,3980
31024,Default,3,139,0.082723322179123163,0.57134584965663149,3980
31025,Default,4,153,0.63133136477441243,0.82541585708843679,3980
31026,Default,6,162,0.55390125052961714,0.55240714154916348,3980
31027,Default,5,200,0.64664126913810349,-1.4465103323449768,3980
31028,Default,6,205,0.56947143387367027,0.19732720098384918,3980
31029,Default,1,212,0.52990972783865853,1.3979776194123552,3980
31030,Default,1,214,0.34505451105951118,-0.032553478559749896,3980
31031,Default,3,243,0.34491888376826135,1.3709349652846403,3980
31032,Default,1,259,0.66402419719298411,0.50632289359243665,3980
31033,Default,7,334,0.29051907992581377,-2.8037540122193549,3980
31034,Default,3,93,0.53227754543939498,-0.49367381845152619,3981
31035,Default,0,136,0.35062358010367811,0.66508309651542707,3981
31036,Default,3,139,0.082723322179123163,0.57134584965663149,3981
31037,Default,8,193,0.66693752999934619,0.68442950929399571,3981
31038,Default,5,200,0.64664126913810349,-1.4465103323449768,3981
31039,Default,2,203,0.39082575300842493,-0.65528267951482644,3981
31040,Default,1,212,0.52990972783865853,1.3979776194123552,3981
31041,Default,4,304,0.57158352561112002,0.092048914807689036,3981
31042,Default,4,396,0.61190185666607433,-0.43053697229685628,3981
31043,Default,2,22,0.0,-2.2153133230157249,3982
31044,Default,2,42,0.056391793237723156,0.45056115913062272,3982
31045,Default,8,65,0.66011234532258301,-0.27933979573889273,3982
31046,Default,3,69,0.10846340387782673,0.47810441663241482,3982
31047,Default,3,93,0.53227754543939498,-0.49367381845152619,3982
31048,Default,0,136,0.35062358010367811,0.66508309651542707,3982
31049,Default,4,153,0.63133136477441243,0.82541585708843679,3982
31050,Default,8,193,0.66693752999934619,0.68442950929399571,3982
31051,Default,5,200,0.64664126913810349,-1.4465103323449768,3982
31052,Default,6,205,0.56947143387367027,0.19732720098384918,3982
31053,Default,1,212,0.52990972783865853,1.3979776194123552,3982
31054,Default,2,250,0.15545405180896138,0.57496323085879808,3982
31055,Default,1,259,0.66402419719298411,0.50632289359243665,3982
31056,Default,6,265,0.53842160211233414,-0.84743208875185261,3982
31057,Default,2,282,0.40646211799346021,-0.5222816459026649,3982
31058,Default,1,296,0.54953851464478864,0.83135652812584993,3982
31059,Default,4,304,0.57158352561112002,0.092048914807689036,3982
31060,Default,4,396,0.61190185666607433,-0.43053697229685628,3982
31061,Cingulo-opercular,2,42,0.056391793237723156,0.45056115913062272,3983
31062,Cingulo-opercular,8,65,0.66011234532258301,-0.27933979573889273,3983
31063,Cingulo-opercular,3,69,0.10846340387782673,0.47810441663241482,3983
31064,Cingulo-opercular,1,76,0.32894835056248412,-0.11952890727690976,3983
31065,Cingulo-opercular,1,123,0.6610697169328682,-0.25908408178212639,3983
31066,Cingulo-opercular,0,136,0.35062358010367811,0.66508309651542707,3983
31067,Cingulo-opercular,5,200,0.64664126913810349,-1.4465103323449768,3983
31068,Cingulo-opercular,1,212,0.52990972783865853,1.3979776194123552,3983
31069,Cingulo-opercular,5,237,0.55113839516270013,-1.1501398232776907,3983
31070,Cingulo-opercular,3,243,0.34491888376826135,1.3709349652846403,3983
31071,Cingulo-opercular,6,255,0.69111490050070046,-1.9177896846633655,3983
31072,Cingulo-opercular,1,259,0.66402419719298411,0.50632289359243665,3983
31073,Cingulo-opercular,6,281,0.65631416902326123,1.2297847254201912,3983
31074,Cingulo-opercular,4,304,0.57158352561112002,0.092048914807689036,3983
31075,Cingulo-opercular,7,320,0.38587171207879317,-0.44987294751784429,3983
31076,Cingulo-opercular,3,328,0.49341657869114314,0.44762607906903756,3983
31077,Cingulo-opercular,6,357,0.49752631949966514,-0.86586770231778476,3983
31078,Cingulo-opercular,3,390,0.039005092760788784,-0.40670716575706578,3983
31079,Cingulo-opercular,4,396,0.61190185666607433,-0.43053697229685628,3983
31080,Cingulo-opercular,9,49,0.76916372484295215,1.0006474618575132,3984
31081,Cingulo-opercular,3,69,0.10846340387782673,0.47810441663241482,3984
31082,Cingulo-opercular,0,97,0.0,-1.3101020161405488,3984
31083,Cingulo-opercular,0,136,0.35062358010367811,0.66508309651542707,3984
31084,Cingulo-opercular,6,255,0.69111490050070046,-1.9177896846633655,3984
31085,Cingulo-opercular,6,281,0.65631416902326123,1.2297847254201912,3984
31086,Cingulo-opercular,5,322,0.59916948457000974,-1.3228672032050626,3984
31087,Cingulo-opercular,6,327,0.35079294309768805,0.73380643526600298,3984
31088,Cingulo-opercular,3,340,0.1176274352514509,0.60546193671196724,3984
31089,Cingulo-opercular,9,49,0.76916372484295215,1.0006474618575132,3985
31090,Cingulo-opercular,3,69,0.10846340387782673,0.47810441663241482,3985
31091,Cingulo-opercular,0,97,0.0,-1.3101020161405488,3985
31092,Cingulo-opercular,3,139,0.082723322179123163,0.57134584965663149,3985
31093,Cingulo-opercular,9,163,0.80853511489728169,0.58182182257905524,3985
31094,Cingulo-opercular,3,199,0.24152545005717854,0.40113991018044975,3985
31095,Cingulo-opercular,6,281,0.65631416902326123,1.2297847254201912,3985
31096,Cingulo-opercular,9,49,0.76916372484295215,1.0006474618575132,3986
31097,Cingulo-opercular,3,139,0.082723322179123163,0.57134584965663149,3986
31098,Cingulo-opercular,9,163,0.80853511489728169,0.58182182257905524,3986
31099,Cingulo-opercular,1,259,0.66402419719298411,0.50632289359243665,3986
31100,Cingulo-opercular,6,281,0.65631416902326123,1.2297847254201912,3986
31101,Cingulo-opercular,0,395,0.0,-0.61369879359103829,3986
31102,Cingulo-opercular,0,45,0.10585425148765155,0.32071782146107825,3987
31103,Cingulo-opercular,3,58,0.12310506124511607,0.59817121465821999,3987
31104,Cingulo-opercular,1,116,0.18908439963540347,0.29109674267011615,3987
31105,Cingulo-opercular,2,143,0.18546470810790511,-0.70211165310101442,3987
31106,Cingulo-opercular,7,234,0.51069603010227704,-0.10746410376180479,3987
31107,Cingulo-opercular,1,259,0.66402419719298411,0.50632289359243665,3987
31108,Cingulo-opercular,3,321,0.13455292314537404,0.96437585452672825,3987
31109,Cingulo-opercular,0,45,0.10585425148765155,0.32071782146107825,3988
31110,Cingulo-opercular,6,48,0.59219583854965752,0.38978213071341028,3988
31111,Cingulo-opercular,0,72,0.095859418895983595,-0.062390082792655711,3988
31112,Cingulo-opercular,6,129,0.45734640391675729,1.1901837007078369,3988
31113,Cingulo-opercular,2,184,0.23596418303308725,1.4097217795140322,3988
31114,Cingulo-opercular,5,190,0.60825641763009775,0.19527377910553176,3988
31115,Cingulo-opercular,1,214,0.34505451105951118,-0.032553478559749896,3988
31116,Cingulo-opercular,1,303,0.3912933333748192,0.084256776800556293,3988
31117,Cingulo-opercular,2,325,0.0,-2.0684197151412023,3988
31118,Cingulo-opercular,0,345,0.10102870739549308,-0.38339669606297533,3988
31119,Cingulo-opercular,6,129,0.45734640391675729,1.1901837007078369,3989
31120,Cingulo-opercular,2,178,0.26059784938967273,1.465512349988439,3989
31121,Cingulo-opercular,3,194,0.46569086380934749,0.32299196214433185,3989
31122,Cingulo-opercular,6,129,0.45734640391675729,1.1901837007078369,3990
31123,Cingulo-opercular,0,136,0.35062358010367811,0.66508309651542707,3990
31124,Cingulo-opercular,2,250,0.15545405180896138,0.57496323085879808,3990
31125,Cingulo-opercular,8,279,0.78119935672525342,0.4733168661298896,3990
31126,Cingulo-opercular,6,129,0.45734640391675729,1.1901837007078369,3991
31127,Cingulo-opercular,2,203,0.39082575300842493,-0.65528267951482644,3991
31128,Cingulo-opercular,3,243,0.34491888376826135,1.3709349652846403,3991
31129,Cingulo-opercular,2,250,0.15545405180896138,0.57496323085879808,3991
31130,Cingulo-opercular,1,259,0.66402419719298411,0.50632289359243665,3991
31131,Cingulo-opercular,2,332,0.07824092073446301,0.55240399948247654,3991
31132,Cingulo-opercular,3,87,0.2308052329788246,0.22229313750320681,3992
31133,Cingulo-opercular,6,129,0.45734640391675729,1.1901837007078369,3992
31134,Cingulo-opercular,3,139,0.082723322179123163,0.57134584965663149,3992
31135,Cingulo-opercular,8,149,0.76562088626384728,0.31519820457785175,3992
31136,Cingulo-opercular,2,203,0.39082575300842493,-0.65528267951482644,3992
31137,Cingulo-opercular,3,243,0.34491888376826135,1.3709349652846403,3992
31138,Cingulo-opercular,2,250,0.15545405180896138,0.57496323085879808,3992
31139,Cingulo-opercular,1,259,0.66402419719298411,0.50632289359243665,3992
31140,Cingulo-opercular,1,287,0.49240285649763882,0.598953123642607,3992
31141,Cingulo-opercular,2,332,0.07824092073446301,0.55240399948247654,3992
31142,Cingulo-opercular,8,346,0.73733318041197571,0.32115189813127337,3992
31143,Cingulo-opercular,6,75,0.53787234053832389,1.4262232028806676,3993
31144,Cingulo-opercular,0,97,0.0,-1.3101020161405488,3993
31145,Cingulo-opercular,6,110,0.64466504538830316,-0.43880643896790961,3993
31146,Cingulo-opercular,3,139,0.082723322179123163,0.57134584965663149,3993
31147,Cingulo-opercular,5,188,0.68153015709790332,0.52841661949364316,3993
31148,Cingulo-opercular,3,243,0.34491888376826135,1.3709349652846403,3993
31149,Cingulo-opercular,2,332,0.07824092073446301,0.55240399948247654,3993
31150,Cingulo-opercular,7,334,0.29051907992581377,-2.8037540122193549,3993
31151,Cingulo-opercular,6,75,0.53787234053832389,1.4262232028806676,3994
31152,Cingulo-opercular,5,82,0.54723929118715053,-0.66424928760823398,3994
31153,Cingulo-opercular,3,139,0.082723322179123163,0.57134584965663149,3994
